id,name,entity_key,record_kind,source,finding_aid_url,organized,mustered_out,history_excerpt
cw-regiments:us-in-inf-143,143rd Indiana Infantry,US-IN-INF-143,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Oct,"143rd REGIMENT INFANTRY. — Org. at Indianapolis, Feby. 21, 1805. March, 1865, 1 Brig., 1st Sub. Dist., Dist. Middle Tenn., Dept. Cumb'd. Mustered out Oct. 17, 1805."
cw-regiments:us-in-inf-144,144th Indiana Infantry,US-IN-INF-144,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Aug,"144th REGIMENT INFANTRY.— Org. at Indianapolis, March 0, 1805. March, 1805, 1 Brig., 2 Prov'l Div., Army Shenandoah. Mustered out Aug. 5, 1865."
cw-regiments:us-in-inf-145,145th Indiana Infantry,US-IN-INF-145,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Jany,"145th REGIMENT INFANTRY.— Org. at Indianapolis, Feby., 1805. March, 1805, I Brig., 2d Separate Div., Diat. Etowah, Dept. Cumb'd. July, 1865, Dept. Ga, Mustered out Jany. 21, 1800."
cw-regiments:us-in-inf-146,146th Indiana Infantry,US-IN-INF-146,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Aug,"146th REGIMENT INFANTRY.— Org. at Indianapolis, Feby. and March, 1865. March, 1865, 1 Brig., 2 Prov'l lMv, Army Shenandoah. Mustered out Aug. 31, 1865."
cw-regiments:us-in-inf-147,147th Indiana Infantry,US-IN-INF-147,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Aug,"147th REGIMENT INFANTRY. -Org. at Indianapolis, Jany. to March, 1803. March, 1866, 1 Brig., 3 Prov'l Div., Armv Shenandoah. Mustered out Aug. 4, 1805. 148th IcEGIMF.N'I INFANTRY.— Org. at Indianapolis, Feby. 25. 1806. March, 1865. 2nd Sub Dist., Dist. Middle Tenn. Dept. Cumb'd. Mustered out Sept. A, 1805."
cw-regiments:us-in-inf-150,150th Indiana Infantry,US-IN-INF-150,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Aug,"150th REGIMENT INFANTRY.— Org. at IndUnapolU, April, 1805. April, 1805, Dept. W. Va. Mustered out Aug. 4, 1S05. 157th and 158th REGIMENTS IN FANTRY.— ( Failed to complete organization.) BASSETT'S INDEPENDENT COMPANY INFANTRY. — Org. at Indianapolis, Julv 18, 1862. Mustered out Aug. 26, 1862. KEASBY'S INDEPENDENT COMPANY INFANTRY. — Org. at Indianapolis, July 17, 1802. Mustered out Aug. 26 1862 BROWN'S INDEPENDENT COMPANY INFANTRY. — Org. at IndUnapolu, July 18, 1862. Mastered out Aug. 28, 1862. MONROE'S INDEPENDENT COMPANY INFANTRY. 26° 1882 1 I""di,m*poU*' Ju,y 29, ,M2- Mu***mt out Au« PATTON'S INDEPENDENT COMPANY INFANTRY. — Org. at Indianapolis, July 25, 1862. Mustered out Aug. 26, 1862. SMITH'S INDEPENDENT COMPANY INFANTRY. — Org. nt Chicago, 111., April 17, 1801. Mustered out July 16, 1801."
cw-regiments:us-in-inf-151,151st Indiana Infantry,US-IN-INF-151,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Sept,"151st REGIMENT INFANTRY.— Org. at IndianapolU, Jany. to March, 1805. March, 1803 , 2 Brig., Drf. Nash, ft Chatta. R. R-. Dipt. Cumb'd. April, 1865, 2 Brig., 1st Sub Dist., Dist. Middle Tenn., IVpt. Cumb'd. June, 1865, Nashville, Tenn. Mustered out Sept. 19, 1805."
cw-regiments:us-in-inf-152,152nd Indiana Infantry,US-IN-INF-152,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Aug,"152nd REGIMENT INFANTRY. — Org. at Indianapolis, Feby. and Mareh, 1R05. March, 1805, 1 Brig., 3 Prov'l Div'., Armv Shenandoah. Mustered out Aug. 30, 1865."
cw-regiments:us-in-inf-153,153rd Indiana Infantry,US-IN-INF-153,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,Sept,"153rd REGIMENT 1 N FANTRY. — Org. at Wabash, Febv, 1805. March. 1865, Dept. Kv. Mustered out Sept. 4, 180.V I54»h REGIMENT INFANTRY . — Org. at Indianapolis, April, 1S<«. Mm, 1805, Dept. \V. Va. Mustered out Aug. I, 1866. 15.r.th REGIMENT IN FANTRY. — Org. at Indianapolis, April, 18H5. April, 18H5, Prov'l Brig., 3 Div.. 0 Corps. Mav, 180S, Dover. Del., Middle Dept. Mustered out Aug. 4. 1865."
cw-regiments:us-ia-cav-1,1st Iowa Cavalry,US-IA-CAV-1,entity,"Frederick H. Dyer, A Compendium of the War of the Rebellion (1908), Part 3",https://www.nps.gov/subjects/civilwar/search-battle-units.htm,,,"1st REGIMENT CAVALRY. — Org. at Davenport, la., Aug. Sept., 1661. Oct., 1861, Fremont's Army Waat and Dept. Mo. Mareh, 1302, DUt Central Mo., Dept. Mo. •Jet., 1802, 2 Brig., 3 Div., Army Frontier, Dept. Mo. Nov., 1862, 1 Brig, 3 Div, Army Frontier. June, 1863, 2 Brig., 1 Cav. Div, Army Southeast Mo. Aug., 1883, 2 Brig., Davidson's 1st Cav. Div., Ark. Exp. Jany., 1864, 3 Brig, 1 Cav. Div., 7 Corps, Dept. Ark. Sept., 1804, 2 Brig, Cav. Div.. 7 Corps, Dept. Ark. (Veterans in Dept. Mo. June to Dec, 1804.) Feby, 1806, 1 Brig, Cav. Div, 7 Corps. Feby, 1865, 2 Brig, Cav. Div, Dist West Tenn. June, 1865, Dept. Gulf. Aug, 1666, Dept. Texas. Mus- tered out Feby. 15, I860."
