id,name,given,surname,birth_year,event_year,notes,source,finding_aid_url
,Abraham BOUDRO,Abraham,Boudro,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Anseleme BOUDRO,Anseleme,Boudro,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Charle BOUDRO,Charle,Boudro,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Charles BOUDRO,Charles,Boudro,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Claude BOUDRO,Claude,Boudro,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Ettime BOUDRO,Ettime,Boudro,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Jean BOUDRO,Jean,Boudro,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Jean Battiste BOUDRO,Jean Battiste,Boudro,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Jean Louis BOUDRO,Jean Louis,Boudro,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Jesepah BOUDRO,Jesepah,Boudro,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Joseph BOUDRO,Joseph,Boudro,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Joseph BOUDRO,Joseph,Boudro,,1755,prisoner at Grand-Pré; fils,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
,Marin BOUDRO,Marin,Boudro,,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
